,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
20,Acinetobacter~phage~AP22,Caudovirales,Myoviridae,Ap22virus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
21,Acinetobacter~phage~AbKT21phiIII,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
22,Acinetobacter~phage~AbP2,Caudovirales,Myoviridae,Obolenskvirus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
23,Acinetobacter~phage~AbTZA1,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
24,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
25,Acinetobacter~phage~Ac42,Caudovirales,Myoviridae,Unassigned,40_4,Clustered/Singleton,1,VC_40_4,1,0.0,1.0,0.0,1,1,1,1.0
26,Acinetobacter~phage~Acj61,Caudovirales,Myoviridae,Unassigned,40_1,Clustered/Singleton,1,VC_40_1,1,0.0,1.0,0.0,1,1,1,1.0
27,Acinetobacter~phage~Acj9,Caudovirales,Myoviridae,Unassigned,40_2,Clustered/Singleton,1,VC_40_2,1,0.0,1.0,0.0,1,1,1,1.0
28,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
29,Acinetobacter~phage~IME-AB2,Caudovirales,Myoviridae,Ap22virus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
30,Acinetobacter~phage~IME200,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
31,Acinetobacter~phage~IMEAB3,Caudovirales,Siphoviridae,Lokivirus,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
32,Acinetobacter~phage~KARL-1,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
33,Acinetobacter~phage~LZ35,Caudovirales,Myoviridae,Obolenskvirus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
34,Acinetobacter~phage~Loki,Caudovirales,Siphoviridae,Lokivirus,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
35,Acinetobacter~phage~Petty,Caudovirales,Autographiviridae,Pettyvirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
36,Acinetobacter~phage~SH-Ab~15519,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
37,Acinetobacter~phage~WCHABP1,Caudovirales,Myoviridae,Obolenskvirus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
38,Acinetobacter~phage~WCHABP12,Caudovirales,Myoviridae,Obolenskvirus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
39,Acinetobacter~phage~WCHABP5,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
40,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
41,Acinetobacter~phage~YMC/09/02/B1251,Caudovirales,Siphoviridae,Vieuvirus,53_0,Clustered,3,VC_53_0,3,0.5846,0.99700466,0.5829,1,1,1,1.0
42,Acinetobacter~phage~YMC11/11/R3177,Caudovirales,Siphoviridae,Vieuvirus,53_0,Clustered,3,VC_53_0,3,0.5846,0.99700466,0.5829,1,1,1,1.0
43,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Obolenskvirus,37_0,Clustered,9,VC_37_0,9,0.8244,1.0,0.8244,2,1,1,1.0
44,Acinetobacter~phage~ZZ1,Caudovirales,Myoviridae,Unassigned,40_3,Clustered/Singleton,1,VC_40_3,1,0.0,1.0,0.0,1,1,1,1.0
45,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
46,Acinetobacter~phage~phiAB6,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
47,Acinetobacter~phage~vB_AbaM_B09_Aci01-1,Caudovirales,Myoviridae,Saclayvirus,58_0,Clustered,4,VC_58_0,4,0.7161,0.99998142,0.7161,1,1,1,1.0
48,Acinetobacter~phage~vB_AbaM_B09_Aci02-2,Caudovirales,Myoviridae,Saclayvirus,58_0,Clustered,4,VC_58_0,4,0.7161,0.99998142,0.7161,1,1,1,1.0
49,Acinetobacter~phage~vB_AbaM_B09_Aci05,Caudovirales,Myoviridae,Saclayvirus,58_0,Clustered,4,VC_58_0,4,0.7161,0.99998142,0.7161,1,1,1,1.0
50,Acinetobacter~phage~vB_AbaM_PhT2,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
51,Acinetobacter~phage~vB_AbaM_phiAbaA1,Caudovirales,Myoviridae,Saclayvirus,58_0,Clustered,4,VC_58_0,4,0.7161,0.99998142,0.7161,1,1,1,1.0
52,Acinetobacter~phage~vB_AbaP_46-62_Aci07,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
53,Acinetobacter~phage~vB_AbaP_AS11,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
54,Acinetobacter~phage~vB_AbaP_AS12,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
55,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Autographiviridae,Daemvirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
56,Acinetobacter~phage~vB_AbaP_Apostate,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
57,Acinetobacter~phage~vB_AbaP_B09_Aci08,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
58,Acinetobacter~phage~vB_AbaP_B1,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
59,Acinetobacter~phage~vB_AbaP_B3,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
60,Acinetobacter~phage~vB_AbaP_B5,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
61,Acinetobacter~phage~vB_AbaP_Berthold,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
62,Acinetobacter~phage~vB_AbaP_D2,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
63,Acinetobacter~phage~vB_AbaP_Kimel,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
64,Acinetobacter~phage~vB_AbaP_Konradin,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
65,Acinetobacter~phage~vB_AbaP_Lazarus,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
66,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
67,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
68,Acinetobacter~phage~vB_AbaS_TRS1,Caudovirales,Siphoviridae,Vieuvirus,53_0,Clustered,3,VC_53_0,3,0.5846,0.99700466,0.5829,1,1,1,1.0
69,Acinetobacter~phage~vB_ApiM_fHyAci03,Caudovirales,Myoviridae,Unassigned,40_0,Clustered,10,VC_40_0,10,0.3152,1.0,0.3152,1,1,1,0.9111
70,Acinetobacter~phage~vB_ApiP_P1,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
71,Acinetobacter~phage~vB_ApiP_P2,Caudovirales,Autographiviridae,Friunavirus,39_0,Clustered,23,VC_39_0,23,1.0,1.0,1.0,4,2,1,1.0
72,Acinetobacter~virus~133,Caudovirales,Myoviridae,Unassigned,40_5,Clustered/Singleton,1,VC_40_5,1,0.0,1.0,0.0,1,1,1,1.0
73,Aeribacillus~phage~AP45,Caudovirales,Myoviridae,Unassigned,74_0,Clustered/Singleton,1,VC_74_0,1,0.0,1.0,0.0,1,1,1,1.0
74,Aeromonas~phage~2-L372D,Caudovirales,Myoviridae,Unassigned,81_0,Clustered,3,VC_81_0,3,0.2728,0.99802916,0.2723,1,1,1,0.6667
75,Aeromonas~phage~25AhydR2PP,Caudovirales,Autographiviridae,Aerosvirus,91_0,Clustered,14,VC_91_0,14,0.6314,1.0,0.6314,8,1,1,1.0
76,Aeromonas~phage~2_L372X,Caudovirales,Myoviridae,Unassigned,81_0,Clustered,3,VC_81_0,3,0.2728,0.99802916,0.2723,1,1,1,0.6667
77,Aeromonas~phage~4_4572,Caudovirales,Podoviridae,Unassigned,98_0,Clustered,4,VC_98_0,4,0.6159,0.99997983,0.6159,1,1,1,1.0
78,Aeromonas~phage~4_L372D,Caudovirales,Myoviridae,Unassigned,81_0,Clustered,3,VC_81_0,3,0.2728,0.99802916,0.2723,1,1,1,0.6667
79,Aeromonas~phage~4_L372XY,Caudovirales,Myoviridae,Unassigned,81_1,Clustered/Singleton,1,VC_81_1,1,0.0,1.0,0.0,1,1,1,1.0
80,Aeromonas~phage~AS-gz,Caudovirales,Myoviridae,Tulanevirus,41_1,Clustered,5,VC_41_1,5,0.1367,0.99999994,0.1367,2,1,1,1.0
81,Aeromonas~phage~AS-sw,Caudovirales,Myoviridae,Unassigned,42_0,Clustered,3,VC_42_0,3,0.1167,0.99846109,0.1166,1,1,1,1.0
82,Aeromonas~phage~AS-zj,Caudovirales,Myoviridae,Unassigned,42_0,Clustered,3,VC_42_0,3,0.1167,0.99846109,0.1166,1,1,1,1.0
83,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,41_1,Clustered,5,VC_41_1,5,0.1367,0.99999994,0.1367,2,1,1,1.0
84,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,41_1,Clustered,5,VC_41_1,5,0.1367,0.99999994,0.1367,2,1,1,1.0
85,Aeromonas~phage~AhSzq-1,Caudovirales,Demerecviridae,Shenzhenvirus,104_0,Clustered,2,VC_104_0,2,0.0722,0.95634698,0.069,1,1,1,1.0
86,Aeromonas~phage~AhSzw-1,Caudovirales,Demerecviridae,Shenzhenvirus,104_0,Clustered,2,VC_104_0,2,0.0722,0.95634698,0.069,1,1,1,1.0
87,Aeromonas~phage~Ahp1,Caudovirales,Autographiviridae,Ahphunavirus,91_0,Clustered,14,VC_91_0,14,0.6314,1.0,0.6314,8,1,1,1.0
88,Aeromonas~phage~CC2,Caudovirales,Myoviridae,Unassigned,42_0,Clustered,3,VC_42_0,3,0.1167,0.99846109,0.1166,1,1,1,1.0
89,Aeromonas~phage~CF7,Caudovirales,Autographiviridae,Ahphunavirus,91_0,Clustered,14,VC_91_0,14,0.6314,1.0,0.6314,8,1,1,1.0
90,Aeromonas~phage~LAh9,Caudovirales,Podoviridae,Unassigned,98_0,Clustered,4,VC_98_0,4,0.6159,0.99997983,0.6159,1,1,1,1.0
91,Aeromonas~phage~LAh_6,Caudovirales,Podoviridae,Unassigned,98_0,Clustered,4,VC_98_0,4,0.6159,0.99997983,0.6159,1,1,1,1.0
92,Aeromonas~phage~LAh_8,Caudovirales,Podoviridae,Unassigned,98_0,Clustered,4,VC_98_0,4,0.6159,0.99997983,0.6159,1,1,1,1.0
93,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,43_0,Clustered,3,VC_43_0,3,0.1122,0.99857035,0.112,1,1,1,1.0
94,Aeromonas~phage~ZPAH7,Caudovirales,Autographiviridae,Aerosvirus,91_0,Clustered,14,VC_91_0,14,0.6314,1.0,0.6314,8,1,1,1.0
95,Aeromonas~phage~pAh6-C,Caudovirales,Chaseviridae,Pahsextavirus,112_0,Clustered,3,VC_112_0,3,0.2277,0.99760936,0.2271,2,1,1,1.0
96,Aeromonas~phage~pIS4-A,Caudovirales,Siphoviridae,Pis4avirus,114_0,Clustered,5,VC_114_0,5,0.5875,0.99999994,0.5875,3,1,1,1.0
97,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,41_1,Clustered,5,VC_41_1,5,0.1367,0.99999994,0.1367,2,1,1,1.0
98,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,43_0,Clustered,3,VC_43_0,3,0.1122,0.99857035,0.112,1,1,1,1.0
99,Aeromonas~phage~phiAS7,Caudovirales,Autographiviridae,Aerosvirus,91_0,Clustered,14,VC_91_0,14,0.6314,1.0,0.6314,8,1,1,1.0
100,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,41_1,Clustered,5,VC_41_1,5,0.1367,0.99999994,0.1367,2,1,1,1.0
101,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,41_0,Clustered,2,VC_41_0,2,0.0312,0.94963769,0.0297,2,1,1,1.0
102,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,41_0,Clustered,2,VC_41_0,2,0.0312,0.94963769,0.0297,2,1,1,1.0
103,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,42_1,Clustered/Singleton,1,VC_42_1,1,0.0,1.0,0.0,1,1,1,1.0
104,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,43_0,Clustered,3,VC_43_0,3,0.1122,0.99857035,0.112,1,1,1,1.0
105,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,120_0,Clustered,15,VC_120_0,15,0.9036,1.0,0.9036,9,2,2,1.0
106,Aggregatibacter~phage~S1249,Caudovirales,Myoviridae,Unassigned,123_0,Clustered,2,VC_123_0,2,0.4216,0.94516662,0.3984,1,1,1,1.0
107,Agrobacterium~phage~Atu_ph02,Caudovirales,Autographiviridae,Atuphduovirus,96_0,Clustered,2,VC_96_0,2,0.2313,0.95351263,0.2206,1,1,1,1.0
108,Agrobacterium~phage~Atu_ph03,Caudovirales,Autographiviridae,Atuphduovirus,96_0,Clustered,2,VC_96_0,2,0.2313,0.95351263,0.2206,1,1,1,1.0
109,Agrobacterium~phage~Atu_ph07,Caudovirales,Myoviridae,Polybotosvirus,128_0,Clustered/Singleton,1,VC_128_0,1,0.0,1.0,0.0,1,1,1,1.0
110,Aquamicrobium~phage~P14,Caudovirales,Autographiviridae,Aqualcavirus,92_0,Clustered,19,VC_92_0,19,0.4231,1.0,0.4231,14,1,1,1.0
111,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,145_0,Clustered,2,VC_145_0,2,0.8308,0.72985431,0.6063,1,2,2,1.0
112,Arthrobacter~phage~Abidatro,Caudovirales,Siphoviridae,Galaxyvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
113,Arthrobacter~phage~Adat,Caudovirales,Podoviridae,Jasminevirus,160_0,Clustered,2,VC_160_0,2,0.7087,0.72985431,0.5173,1,1,1,1.0
114,Arthrobacter~phage~Amigo,Caudovirales,Siphoviridae,Amigovirus,161_0,Clustered,2,VC_161_0,2,0.7984,0.92263554,0.7366,1,1,1,1.0
115,Arthrobacter~phage~Andrew,Caudovirales,Siphoviridae,Andrewvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
116,Arthrobacter~phage~Anjali,Caudovirales,Podoviridae,Unassigned,65_0,Clustered,2,VC_65_0,2,0.5202,0.92975811,0.4837,1,1,1,1.0
117,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
118,Arthrobacter~phage~Beans,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
119,Arthrobacter~phage~Bennie,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
120,Arthrobacter~phage~Brent,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
121,Arthrobacter~phage~Bridgette,Caudovirales,Siphoviridae,Bridgettevirus,164_0,Clustered,5,VC_164_0,5,0.9498,0.99999686,0.9498,1,1,1,1.0
122,Arthrobacter~phage~Colucci,Caudovirales,Myoviridae,Radnorvirus,147_0,Clustered,6,VC_147_0,6,0.642,1.0,0.642,2,1,1,1.0
123,Arthrobacter~phage~Constance,Caudovirales,Siphoviridae,Bridgettevirus,164_0,Clustered,5,VC_164_0,5,0.9498,0.99999686,0.9498,1,1,1,1.0
124,Arthrobacter~phage~Coral,Caudovirales,Siphoviridae,Coralvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
125,Arthrobacter~phage~Decurro,Caudovirales,Siphoviridae,Decurrovirus,171_0,Clustered,5,VC_171_0,5,0.7467,0.99987368,0.7466,2,1,1,1.0
126,Arthrobacter~phage~DrManhattan,Caudovirales,Siphoviridae,Manhattanvirus,163_0,Clustered,4,VC_163_0,4,0.5823,0.99997744,0.5823,4,1,1,1.0
127,Arthrobacter~phage~DrRobert,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
128,Arthrobacter~phage~DrYang,Caudovirales,Myoviridae,Radnorvirus,147_0,Clustered,6,VC_147_0,6,0.642,1.0,0.642,2,1,1,1.0
129,Arthrobacter~phage~Eileen,Caudovirales,Siphoviridae,Bridgettevirus,164_0,Clustered,5,VC_164_0,5,0.9498,0.99999686,0.9498,1,1,1,1.0
130,Arthrobacter~phage~Galaxy,Caudovirales,Siphoviridae,Galaxyvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
131,Arthrobacter~phage~Glenn,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
132,Arthrobacter~phage~HunterDalle,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
133,Arthrobacter~phage~Jasmine,Caudovirales,Podoviridae,Jasminevirus,160_0,Clustered,2,VC_160_0,2,0.7087,0.72985431,0.5173,1,1,1,1.0
134,Arthrobacter~phage~Jawnski,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
135,Arthrobacter~phage~Joann,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
136,Arthrobacter~phage~Judy,Caudovirales,Siphoviridae,Bridgettevirus,164_0,Clustered,5,VC_164_0,5,0.9498,0.99999686,0.9498,1,1,1,1.0
137,Arthrobacter~phage~KBurrousTX,Caudovirales,Myoviridae,Radnorvirus,147_0,Clustered,6,VC_147_0,6,0.642,1.0,0.642,2,1,1,1.0
138,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,177_0,Clustered,2,VC_177_0,2,1.0,1.0,1.0,1,1,1,1.0
139,Arthrobacter~phage~Kepler,Caudovirales,Siphoviridae,Coralvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
140,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,177_0,Clustered,2,VC_177_0,2,1.0,1.0,1.0,1,1,1,1.0
141,Arthrobacter~phage~Korra,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
142,Arthrobacter~phage~Kuleana,Caudovirales,Siphoviridae,Coralvirus,149_0,Clustered,6,VC_149_0,6,0.7555,1.0,0.7555,3,1,1,1.0
143,Arthrobacter~phage~Laroye,Caudovirales,Siphoviridae,Laroyevirus,176_0,Clustered,2,VC_176_0,2,0.9525,0.72985431,0.6952,2,2,2,1.0
144,Arthrobacter~phage~Liebe,Caudovirales,Siphoviridae,Liebevirus,163_0,Clustered,4,VC_163_0,4,0.5823,0.99997744,0.5823,4,1,1,1.0
145,Arthrobacter~phage~Lymara,Caudovirales,Myoviridae,Radnorvirus,147_0,Clustered,6,VC_147_0,6,0.642,1.0,0.642,2,1,1,1.0
146,Arthrobacter~phage~Maja,Caudovirales,Siphoviridae,Majavirus,151_0,Clustered,3,VC_151_0,3,0.1954,0.99771584,0.1949,2,2,2,1.0
147,Arthrobacter~phage~Martha,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
148,Arthrobacter~phage~Mendel,Caudovirales,Podoviridae,Unassigned,65_0,Clustered,2,VC_65_0,2,0.5202,0.92975811,0.4837,1,1,1,1.0
149,Arthrobacter~phage~Molivia,Caudovirales,Siphoviridae,Amigovirus,161_0,Clustered,2,VC_161_0,2,0.7984,0.92263554,0.7366,1,1,1,1.0
150,Arthrobacter~phage~Mufasa8,Caudovirales,Siphoviridae,Unassigned,148_0,Clustered,2,VC_148_0,2,0.5993,0.94699044,0.5675,2,1,1,1.0
151,Arthrobacter~phage~Peas,Caudovirales,Siphoviridae,Bridgettevirus,164_0,Clustered,5,VC_164_0,5,0.9498,0.99999686,0.9498,1,1,1,1.0
152,Arthrobacter~phage~Piccoletto,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
153,Arthrobacter~phage~Preamble,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
154,Arthrobacter~phage~PrincessTrina,Caudovirales,Myoviridae,Arv1virus,147_0,Clustered,6,VC_147_0,6,0.642,1.0,0.642,2,1,1,1.0
155,Arthrobacter~phage~Pumancara,Caudovirales,Siphoviridae,Korravirus,150_0,Clustered,9,VC_150_0,9,0.8454,1.0,0.8454,1,1,1,1.0
156,Arthrobacter~phage~Shade,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
157,Arthrobacter~phage~Sonali,Caudovirales,Siphoviridae,Sonalivirus,148_0,Clustered,2,VC_148_0,2,0.5993,0.94699044,0.5675,2,1,1,1.0
158,Arthrobacter~phage~Sonny,Caudovirales,Myoviridae,Marthavirus,146_0,Clustered,9,VC_146_0,9,0.6849,1.0,0.6849,1,1,1,1.0
